block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0,0.0,0,0,0
0,0.2,0,0.0366517953843354,0,0,0
0,0.4,0,0.03747272110601653,0,0,0
0,0.6,0,0.036979667302484,0,0,0
0,0.8,0,0.033627274553781054,0,0,0
1,0.0,0,0.0,0,0,0
1,0.2,0,0.04700389678402774,0,0,0
1,0.4,0,0.06726590400519507,0,0,0
1,0.6,0,0.10414390911894475,0,0,0
1,0.8,0,0.09138707806367478,0,0,0
2,0.0,0,0.0,0,0,0
2,0.2,0,0.059754157022666066,0,0,0
2,0.4,0,0.11698662913633989,0,0,0
2,0.6,0,0.17550794873359143,0,0,0
2,0.8,0,0.22644154459686613,0,0,0
3,0.0,0,0.0,0,0,0
3,0.2,0,0.04917030208753774,0,0,0
3,0.4,0,0.10927641423369296,0,0,0
3,0.6,0,0.1657652269665825,0,0,0
3,0.8,0,0.21484368860594974,0,0,0
4,0.0,0,0.0,0,0,0
4,0.2,0,0.07479836986502462,0,0,0
4,0.4,0,0.15253923125757557,0,0,0
4,0.6,0,0.23473944621852133,0,0,0
4,0.8,0,0.32342808381795946,0,0,0
5,0.0,0,0.0,0,0,0
5,0.2,0,0.07382829231058392,0,0,0
5,0.4,0,0.15458381821416958,0,0,0
5,0.6,0,0.22413535751011296,0,0,0
5,0.8,0,0.31154001125341946,0,0,0
