block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0,0.0,0,0,0
0,0.2,0,-0.002090825991913474,0,0,0
0,0.4,0,-0.017780247186152072,0,0,0
0,0.6,0,0.0005810722594006976,0,0,0
0,0.8,0,-0.0056044274137988705,0,0,0
1,0.0,0,0.0,0,0,0
1,0.2,0,0.012099745398219224,0,0,0
1,0.4,0,-0.0034640221843333743,0,0,0
1,0.6,0,0.015127511537620087,0,0,0
1,0.8,0,-0.00046435665701538673,0,0,0
2,0.0,0,0.0,0,0,0
2,0.2,0,0.03809978175819021,0,0,0
2,0.4,0,0.09144222690988586,0,0,0
2,0.6,0,0.14120578318954222,0,0,0
2,0.8,0,-0.011439164169522177,0,0,0
3,0.0,0,0.0,0,0,0
3,0.2,0,0.029641249610032637,0,0,0
3,0.4,0,0.004495194980106195,0,0,0
3,0.6,0,0.015712281988003035,0,0,0
3,0.8,0,0.025797297763720445,0,0,0
4,0.0,0,0.0,0,0,0
4,0.2,0,0.07849328851591723,0,0,0
4,0.4,0,0.16351629112107666,0,0,0
4,0.6,0,0.2301584430144578,0,0,0
4,0.8,0,0.32313169635420613,0,0,0
5,0.0,0,0.0,0,0,0
5,0.2,0,0.037990366755051824,0,0,0
5,0.4,0,0.03786607546144848,0,0,0
5,0.6,0,0.041221509506419035,0,0,0
5,0.8,0,0.03144260150173953,0,0,0
6,0.0,0,0.0,0,0,0
6,0.2,0,0.11006711316843334,0,0,0
6,0.4,0,0.21040781746523687,0,0,0
6,0.6,0,0.3395043144765255,0,0,0
6,0.8,0,0.42766783669324704,0,0,0
7,0.0,0,0.0,0,0,0
7,0.2,0,0.0836513862119539,0,0,0
7,0.4,0,0.16915248759650806,0,0,0
7,0.6,0,0.2599988945908851,0,0,0
7,0.8,0,0.35099598380883407,0,0,0
